code,airport_name
BKL,Cleveland Burke Lakefront Airport
BKM,Bakelalan Airport
BKN,Balkanabat Airport
BKO,Bamako–Sénou International Airport
BKP,Barkly Downs Airport
BKQ,Blackall Airport
BKR,Bokoro Airport
BKS,Fatmawati Soekarno Airport
BKT,Blackstone Army Airfield
BKU,Betioky Airport
BKW,Raleigh County Memorial Airport
BKX,Brookings Regional Airport
BKY,Kavumu Airport
BKZ,Bukoba Airport
BLA,General José Antonio Anzoátegui International Airport
BLB,Panamá Pacífico International Airport
BLC,Bali Airport
BLD,Boulder City Municipal Airport
BLE,Dala Airport
BLF,Mercer County Airport
BLG,Belaga Airport
BLH,Blythe Airport
BLI,Bellingham International Airport
BLJ,Mostépha Ben Boulaid Airport
BLK,Blackpool Airport
BLL,Billund Airport
BLM,Monmouth Executive Airport
BLN,Benalla Airport
BLO,Blönduós Airport
BLP,Huallaga Airport
BLQ,Bologna Guglielmo Marconi Airport
BLR,Kempegowda International Airport
BLS,Bollon Airport
BLT,Blackwater Airport
BLU,Blue Canyon–Nyack Airport
BLV,MidAmerica St. Louis Airport
BLX,Belluno Airport
BLY,Belmullet Aerodrome
BLZ,Chileka International Airport
BMA,Stockholm Bromma Airport
BMB,Bumba Airport
BMC,Brigham City Airport
BMD,Belo sur Tsiribihina Airport
BME,Broome International Airport
BMF,Bakouma Airport
BMG,Monroe County Airport
BMH,Bomai Airport
BMI,Central Illinois Regional Airport
BMJ,Baramita Airport
BMK,Borkum Airfield
BML,Berlin Regional Airport
BMM,Bitam Airport
BMN,Bamarni Airport
BMO,Bhamo Airport
BMP,Brampton Island Airport
BMQ,Bamburi Airport
BMR,Baltrum Airport
BMS,Socrates Mariani Bittencourt Airport
BMT,Beaumont Municipal Airport
BMU,Sultan Muhammad Salahudin Airport
BMV,Buon Ma Thuot Airport
BMW,Bordj Mokhtar Airport
BMX,Big Mountain Air Force Station
BMY,Île Art – Waala Airport
BMZ,Bamu Airport
BNA,Nashville International Airport
BNB,Boende Airport
BNC,Beni Airport
BND,Bandar Abbas International Airport
